자치구,행정동,유해업소수,대형쇼핑몰수,도서관수,미술관 박물관 극장수,"의료시설수(병원,의원,보건소,보건지소)",공원 수,경로당 수,보육시설정원,보육시설현원,보육시설포화도,횡단보도수,육교수,CCTV수,월평균소득금액,평균면적(m^2),면적당 가격(만원/m^2),"주유소,가스충전소 수",0~9세,2030_상주인구수,23년 출생인구,공립,사립,공립+사립,1인가구 비율(%),어린이집 수,공립유치원정원,사립유치원정원
종로구,사직동,23,1,2,5,2,6,1,954,542,0.57,90,0,139,5039456,135,1231,1,462,2476,25,0,2,2,38.73,11,0.0,119.0
종로구,부암동,2,0,0,6,0,0,1,150,116,0.77,20,17,144,3661725,74,628,3,381,2586,20,0,2,2,29.92,3,0.0,216.0
종로구,평창동,6,0,0,6,1,3,6,175,160,0.91,22,6,120,4544046,120,780,3,996,4740,66,0,1,1,20.78,5,0.0,98.0
용산구,한남동,21,0,0,2,1,1,10,364,266,0.73,73,24,119,4397761,129,1995,5,1027,6364,114,1,0,1,44.03,12,34.0,0.0
성동구,왕십리2동,42,0,0,0,0,2,18,376,336,0.89,10,5,222,3487691,61,1273,0,1053,5333,104,1,1,2,32.85,15,39.0,32.0
성동구,마장동,5,1,0,1,0,4,15,597,445,0.75,55,9,402,3050686,68,1225,1,967,7481,74,2,2,4,37.8,19,55.0,97.0
중구,중림동,20,1,2,1,0,1,4,338,290,0.86,43,7,140,4451102,85,1562,1,934,3150,89,0,1,1,32.7,7,0.0,75.0
성동구,옥수동,0,2,1,0,0,0,18,761,571,0.75,12,0,178,4857859,98,1741,1,2291,7752,243,1,3,4,23.73,27,44.0,300.0
중구,장충동,12,0,1,2,0,0,2,97,69,0.71,25,6,143,2923569,157,980,2,134,1876,13,1,0,1,57.42,2,23.0,0.0
중구,광희동,82,13,0,0,2,3,3,183,109,0.6,89,4,192,3276838,52,1070,3,124,1480,18,0,0,0,54.36,2,0.0,0.0
성동구,사근동,0,1,0,2,1,2,6,189,111,0.59,33,3,315,3138503,67,1147,1,325,5800,27,1,1,2,66.49,5,14.0,72.0
용산구,후암동,1,0,2,0,0,1,4,480,295,0.61,51,4,80,3035337,96,1075,0,692,5292,47,0,1,1,38.45,17,0.0,99.0
용산구,용산2가동,6,0,0,0,0,0,4,141,86,0.61,22,9,76,2552190,71,850,0,255,3212,29,0,0,0,42.45,4,0.0,0.0
용산구,남영동,20,0,0,1,0,2,4,131,94,0.72,43,2,46,3203052,117,1232,1,126,1883,16,0,0,0,62.87,3,0.0,0.0
용산구,원효로2동,12,0,0,0,0,2,6,291,215,0.74,37,7,52,3838877,107,1467,4,730,3891,55,0,2,2,29.41,17,0.0,351.0
용산구,효창동,1,0,0,2,0,2,4,375,311,0.83,14,0,54,3540899,78,1417,0,751,3043,68,0,0,0,27.59,14,0.0,0.0
용산구,용문동,5,0,0,0,0,1,6,318,271,0.85,25,0,46,3584571,66,1194,0,623,3690,75,0,1,1,31.92,9,0.0,41.0
용산구,이태원1동,25,1,0,0,1,1,6,230,165,0.72,22,2,59,3691173,172,1510,0,205,2070,22,0,0,0,47.63,5,0.0,0.0
성동구,금호1가동,0,2,1,0,0,1,6,576,463,0.8,35,0,118,3953888,82,1495,0,1071,4374,82,0,1,1,25.44,15,0.0,157.0
성동구,금호4가동,2,1,0,0,0,2,12,346,266,0.77,23,0,198,4438328,79,1817,1,1185,4132,101,1,1,2,27.94,14,36.0,85.0
성동구,성수1가1동,8,0,1,2,0,0,12,328,222,0.68,50,2,240,3895002,102,2696,3,816,5283,85,2,1,3,35.1,8,139.0,65.0
성동구,성수2가1동,16,2,0,0,5,2,8,209,167,0.8,38,4,278,2926007,82,2222,2,581,5001,56,1,0,1,40.27,15,34.0,0.0
