주소,평균가격,평균면적,lat,lng
서울특별시 강남구 개포동 1164-13,74800.0,59.67,127.0530941,37.4732873
서울특별시 강남구 개포동 1164-14,58816.66666666666,57.93,127.0532390,37.4733817
서울특별시 강남구 개포동 1164-30,66200.0,76.31,127.0548038,37.4748175
서울특별시 강남구 개포동 1164-7,68666.66666666667,76.62666666666667,127.0522295,37.4727197
서울특별시 강남구 개포동 12,136376.25,42.521125,127.0752094,37.4941774
서울특별시 강남구 개포동 12-2,240418.75,145.7425,127.0766243,37.4962963
서울특별시 강남구 개포동 1260-11,65900.0,59.7,127.0488957,37.4793751
서울특별시 강남구 개포동 1280,255333.3333333333,73.9339393939394,127.0644350,37.4811997
서울특별시 강남구 개포동 1282,230518.18181818185,67.46,127.0538871,37.4786400
서울특별시 강남구 개포동 138,260615.38461538465,72.4052423076923,127.0673577,37.4841358
서울특별시 강남구 개포동 166-4,120000.0,84.89,127.0612969,37.4829094
서울특별시 강남구 개포동 176-1,350000.0,161.07,127.0602728,37.4872933
서울특별시 강남구 개포동 177,293250.0,136.1,127.0609603,37.4878856
서울특별시 강남구 개포동 179,207750.0,79.44,127.0623917,37.4881753
서울특별시 강남구 개포동 185,235781.25,69.4125,127.0716669,37.4888519
서울특별시 강남구 개포동 187,276750.0,81.68333333333334,127.0685158,37.4875974
서울특별시 강남구 개포동 649,310133.3333333333,155.26133333333334,127.0541788,37.4845189
서울특별시 강남구 개포동 651-1,254571.5,84.9,127.0572569,37.4848288
서울특별시 강남구 개포동 652,240590.9090909091,117.35454545454546,127.0560194,37.4839751
서울특별시 강남구 개포동 653,291437.5,134.37625,127.0544302,37.4826743
서울특별시 강남구 개포동 654,260285.7142857143,109.71142857142856,127.0512552,37.4824870
서울특별시 강남구 개포동 655-1,192000.0,82.2,127.0526829,37.4817013
서울특별시 강남구 개포동 655-2,174000.0,77.75,127.0531012,37.4814625
서울특별시 강남구 개포동 658-1,207500.0,79.97,127.0568592,37.4762762
서울특별시 강남구 논현동 103,108333.33333333331,59.91,127.0381504,37.5196344
서울특별시 강남구 논현동 105,191857.14285714287,89.88428571428572,127.0365959,37.5193579
서울특별시 강남구 논현동 105-4,175750.0,84.94,127.0371689,37.5207209
서울특별시 강남구 논현동 107-44,120750.0,76.9925,127.0373725,37.5178383
서울특별시 강남구 논현동 108,115500.0,92.34,127.0380482,37.5184567
서울특별시 강남구 논현동 108-2,95000.0,75.12,127.0379561,37.5180522
서울특별시 강남구 논현동 109-9,80500.0,82.67,127.0386972,37.5187354
서울특별시 강남구 논현동 16-42,56488.88888888889,46.98611111111112,127.0212634,37.5149402
서울특별시 강남구 논현동 180-6,105000.0,110.1,127.0280018,37.5075736
서울특별시 강남구 논현동 192-3,122000.0,137.325,127.0328497,37.5081772
서울특별시 강남구 논현동 194-22,60000.0,64.23,127.0307137,37.5072124
서울특별시 강남구 논현동 194-23,146000.0,100.5175,127.0307463,37.5076906
서울특별시 강남구 논현동 195-1,145000.0,129.1841,127.0287625,37.5068651
서울특별시 강남구 논현동 196,45488.88888888889,37.40611111111111,127.0276540,37.5063732
서울특별시 강남구 논현동 205-2,130500.0,67.671,127.0304120,37.5068275
서울특별시 강남구 논현동 211-21,107666.66666666669,43.392,127.0349855,37.5138447
서울특별시 강남구 논현동 212-20,95000.0,98.81,127.0341777,37.5130239
서울특별시 강남구 논현동 214-2,115500.0,112.46,127.0327365,37.5127501
서울특별시 강남구 논현동 216-1,82000.0,84.92,127.0323926,37.5121793
서울특별시 강남구 논현동 22,132910.0,64.6065,127.0226915,37.5147190
서울특별시 강남구 논현동 221-7,20566.666666666668,16.2,127.0335380,37.5097184
서울특별시 강남구 논현동 225-6,147000.0,53.605,127.0359609,37.5105435
서울특별시 강남구 논현동 241-1,191000.0,144.20499999999998,127.0401523,37.5165553
서울특별시 강남구 논현동 245,318000.0,179.66,127.0381516,37.5147528
서울특별시 강남구 논현동 252,453000.0,240.03,127.0387869,37.5140473
서울특별시 강남구 논현동 258,180000.0,91.93433333333331,127.0383858,37.5125392
서울특별시 강남구 논현동 261-7,185000.0,194.92,127.0365974,37.5118582
서울특별시 강남구 논현동 261-8,232666.66666666663,243.9,127.0367851,37.5115896
서울특별시 강남구 논현동 271-6,127800.0,114.3,127.0402382,37.5112534
서울특별시 강남구 논현동 274,172000.0,114.27,127.0382213,37.5106852
서울특별시 강남구 논현동 275,213166.66666666663,104.66116666666666,127.0376735,37.5103594
서울특별시 강남구 논현동 276-1,250285.7142857143,92.40385714285716,127.0389835,37.5095288
서울특별시 강남구 논현동 39-10,95000.0,78.54,127.0273467,37.5148398
서울특별시 강남구 논현동 43-3,256666.66666666663,237.43,127.0242162,37.5133029
서울특별시 강남구 논현동 44-6,130000.0,109.36,127.0239360,37.5131549
서울특별시 강남구 논현동 44-8,98000.0,80.4,127.0237466,37.5135569
서울특별시 강남구 논현동 44-9,90000.0,77.7,127.0236628,37.5137314
서울특별시 강남구 논현동 55,156666.66666666666,137.76,127.0239050,37.5126063
서울특별시 강남구 논현동 58-2,36673.53846153846,36.29,127.0289105,37.5138873
서울특별시 강남구 논현동 62-3,137800.0,89.944,127.0322414,37.5202967
서울특별시 강남구 논현동 79-7,124500.0,104.64,127.0313224,37.5170464
서울특별시 강남구 대치동 1007-2,229500.0,111.54,127.0666911,37.5042562
서울특별시 강남구 대치동 1014-3,237000.0,80.60333333333334,127.0584123,37.4963884
서울특별시 강남구 대치동 1016-2,243000.0,150.03,127.0601256,37.4975727
서울특별시 강남구 대치동 1017-1,225000.0,168.04,127.0604341,37.4973910
서울특별시 강남구 대치동 1027,364187.5,95.543125,127.0580090,37.4942944
서울특별시 강남구 대치동 316,237345.7627118644,80.28627118644069,127.0653085,37.4974139
서울특별시 강남구 대치동 500,354400.0,110.544,127.0572451,37.4908356
서울특별시 강남구 대치동 503,331142.8571428572,100.09571428571428,127.0598974,37.4911201
서울특별시 강남구 대치동 506,347125.0,112.52625,127.0625620,37.4921192
서울특별시 강남구 대치동 511,327880.0,117.836,127.0673333,37.4933830
서울특별시 강남구 대치동 63,248115.38461538465,91.82076923076924,127.0691028,37.5002340
서울특별시 강남구 대치동 65,277142.8571428572,105.21571428571428,127.0704548,37.4994723
서울특별시 강남구 대치동 66,263562.5,108.39125,127.0711932,37.4980810
서울특별시 강남구 대치동 670,433100.0,151.241,127.0557529,37.4927840
서울특별시 강남구 대치동 888,304285.71428571426,97.6842857142857,127.0545804,37.4950374
서울특별시 강남구 대치동 889-74,25950.0,30.46,127.0505510,37.5033752
서울특별시 강남구 대치동 890-49,24825.0,27.61,127.0515755,37.5045003
서울특별시 강남구 대치동 891-23,28975.0,33.915000000000006,127.0535400,37.5050842
서울특별시 강남구 대치동 891-26,41816.66666666666,39.597,127.0537681,37.5046356
서울특별시 강남구 대치동 891-28,72900.0,59.97,127.0542241,37.5045468
서울특별시 강남구 대치동 891-6,50002.2,41.86,127.0540217,37.5056902
서울특별시 강남구 대치동 894,54000.0,35.61,127.0548249,37.5043047
서울특별시 강남구 대치동 902,318000.0,152.20999999999998,127.0570655,37.5039638
서울특별시 강남구 대치동 907-2,157000.0,84.99,127.0516071,37.5013939
서울특별시 강남구 대치동 929-8,164000.0,83.58,127.0584998,37.5000935
서울특별시 강남구 대치동 950,150000.0,97.85,127.0623031,37.5068899
서울특별시 강남구 대치동 974,209833.3333333333,75.17666666666666,127.0609864,37.5008352
서울특별시 강남구 대치동 985,295000.0,110.39,127.0654620,37.5010467
서울특별시 강남구 대치동 986,184000.0,145.34,127.0633860,37.5004106
서울특별시 강남구 대치동 988-4,155000.0,59.84,127.0611923,37.4999345
서울특별시 강남구 대치동 992,193666.66666666663,84.47666666666667,127.0652700,37.4998971
서울특별시 강남구 도곡동 161,184362.5,75.89750000000001,127.0463421,37.4886379
서울특별시 강남구 도곡동 164-6,330000.0,209.03,127.0476240,37.4879138
서울특별시 강남구 도곡동 184-3,225000.0,164.9,127.0453838,37.4876978
서울특별시 강남구 도곡동 190-3,157000.0,90.85,127.0448028,37.4887975
서울특별시 강남구 도곡동 192-2,270000.0,228.63,127.0445778,37.4876361
서울특별시 강남구 도곡동 193-1,365000.0,244.55000000000004,127.0450433,37.4881393
서울특별시 강남구 도곡동 194,179500.0,154.54,127.0440583,37.4864162
서울특별시 강남구 도곡동 200-1,205000.0,189.39,127.0436104,37.4871369
서울특별시 강남구 도곡동 202,559680.0,211.968,127.0438492,37.4878467
서울특별시 강남구 도곡동 462-1,482500.0,244.11,127.0468065,37.4858219
서울특별시 강남구 도곡동 462-2,412500.0,244.66,127.0464183,37.4854856
서울특별시 강남구 도곡동 463-1,208687.5,74.94,127.0475885,37.4859774
서울특별시 강남구 도곡동 464,222750.0,61.32714285714285,127.0489053,37.4868952
서울특별시 강남구 도곡동 465,300000.0,107.31333333333332,127.0494789,37.4854500
서울특별시 강남구 도곡동 467,357635.13513513515,160.78378378378378,127.0544454,37.4882233
서울특별시 강남구 도곡동 467-10,165000.0,119.73,127.0525676,37.4884461
서울특별시 강남구 도곡동 467-17,361557.6923076923,158.50269230769229,127.0544975,37.4897089
서울특별시 강남구 도곡동 467-19,42578.260869565216,33.96326086956522,127.0513325,37.4873651
서울특별시 강남구 도곡동 467-29,394490.9090909091,177.03809090909093,127.0528363,37.4873383
서울특별시 강남구 도곡동 467-6,257409.0909090909,151.64972727272726,127.0510858,37.4881225
서울특별시 강남구 도곡동 467-7,193832.14285714287,125.53821428571428,127.0521102,37.4886731
서울특별시 강남구 도곡동 514-3,72000.0,49.44,127.0425207,37.4841263
서울특별시 강남구 도곡동 527,288475.51020408166,90.86595102040816,127.0505624,37.4935294
서울특별시 강남구 도곡동 538-3,277363.63636363635,87.79363636363637,127.0505537,37.4950706
서울특별시 강남구 도곡동 543-7,260500.0,118.72475,127.0432234,37.4921279
서울특별시 강남구 도곡동 550-1,65000.0,47.6,127.0370341,37.4898432
서울특별시 강남구 도곡동 551-28,225000.0,150.78,127.0367199,37.4902479
서울특별시 강남구 도곡동 869,211000.0,112.29333333333334,127.0421101,37.4909019
서울특별시 강남구 도곡동 895-8,214644.44444444444,92.61555555555556,127.0402373,37.4878586
서울특별시 강남구 도곡동 91-5,272000.0,100.7175,127.0506613,37.4897779
서울특별시 강남구 도곡동 933,213555.5555555556,108.0411111111111,127.0381249,37.4879855
서울특별시 강남구 도곡동 934-10,196833.3333333333,83.42166666666667,127.0371243,37.4882030
서울특별시 강남구 도곡동 944-6,120000.0,84.44,127.0343054,37.4891234
서울특별시 강남구 도곡동 949-2,179000.0,147.21,127.0329194,37.4877759
서울특별시 강남구 도곡동 952,27460.0,27.748,127.0335386,37.4864781
서울특별시 강남구 도곡동 953-1,70183.33333333333,53.15833333333333,127.0344138,37.4853103
서울특별시 강남구 도곡동 957-11,160000.0,112.75,127.0357672,37.4851462
서울특별시 강남구 도곡동 960,181766.66666666663,84.93666666666667,127.0399019,37.4865525
서울특별시 강남구 도곡동 961,172500.0,84.96,127.0380243,37.4889673
서울특별시 강남구 도곡동 963,223357.14285714287,99.06499999999998,127.0400018,37.4904564
